position,name,ms_level,polarity,retention_time,height,area,mz,neutral_mass,adducts,p_value,quantitation_mass,CI_1.mzXML retention_time,CI_1.mzXML height,CI_1.mzXML mz,CI_10.mzXML retention_time,CI_10.mzXML height,CI_10.mzXML mz,CI_11.mzXML retention_time,CI_11.mzXML height,CI_11.mzXML mz,CI_13.mzXML retention_time,CI_13.mzXML height,CI_13.mzXML mz,CI_15.mzXML retention_time,CI_15.mzXML height,CI_15.mzXML mz,CI_16.mzXML retention_time,CI_16.mzXML height,CI_16.mzXML mz,CI_17.mzXML retention_time,CI_17.mzXML height,CI_17.mzXML mz,CI_18.mzXML retention_time,CI_18.mzXML height,CI_18.mzXML mz,CI_19.mzXML retention_time,CI_19.mzXML height,CI_19.mzXML mz,CI_20.mzXML retention_time,CI_20.mzXML height,CI_20.mzXML mz,CI_21.mzXML retention_time,CI_21.mzXML height,CI_21.mzXML mz,CI_22.mzXML retention_time,CI_22.mzXML height,CI_22.mzXML mz,CI_26.mzXML retention_time,CI_26.mzXML height,CI_26.mzXML mz,CI_27.mzXML retention_time,CI_27.mzXML height,CI_27.mzXML mz,CI_28.mzXML retention_time,CI_28.mzXML height,CI_28.mzXML mz,CI_29.mzXML retention_time,CI_29.mzXML height,CI_29.mzXML mz,CI_31.mzXML retention_time,CI_31.mzXML height,CI_31.mzXML mz,CI_32.mzXML retention_time,CI_32.mzXML height,CI_32.mzXML mz,CI_33.mzXML retention_time,CI_33.mzXML height,CI_33.mzXML mz,CI_34.mzXML retention_time,CI_34.mzXML height,CI_34.mzXML mz,CI_35.mzXML retention_time,CI_35.mzXML height,CI_35.mzXML mz,CI_36.mzXML retention_time,CI_36.mzXML height,CI_36.mzXML mz,CI_37.mzXML retention_time,CI_37.mzXML height,CI_37.mzXML mz,CI_38.mzXML retention_time,CI_38.mzXML height,CI_38.mzXML mz,CI_4.mzXML retention_time,CI_4.mzXML height,CI_4.mzXML mz,CI_5.mzXML retention_time,CI_5.mzXML height,CI_5.mzXML mz,CI_6.mzXML retention_time,CI_6.mzXML height,CI_6.mzXML mz,CI_8.mzXML retention_time,CI_8.mzXML height,CI_8.mzXML mz,CI_9.mzXML retention_time,CI_9.mzXML height,CI_9.mzXML mz,SP_CL_1_1.mzXML retention_time,SP_CL_1_1.mzXML height,SP_CL_1_1.mzXML mz,SP_CL_1_2.mzXML retention_time,SP_CL_1_2.mzXML height,SP_CL_1_2.mzXML mz,SP_CL_2_1.mzXML retention_time,SP_CL_2_1.mzXML height,SP_CL_2_1.mzXML mz,SP_CL_2_2.mzXML retention_time,SP_CL_2_2.mzXML height,SP_CL_2_2.mzXML mz,SP_CL_3_2.mzXML retention_time,SP_CL_3_2.mzXML height,SP_CL_3_2.mzXML mz
31,#31 208.0784@8.0295 MS1+,1,+,8.02945,6725622.98672567,1.0209689729172382E8,208.07839292638442,147.0136857029383,"[M+61.06534] (M+IsoProp+H), [M+18.03382]! (M+NH4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,#32 163.0324@8.0295 MS1+,1,+,8.02945,5885005.070059005,1.0209689729172382E8,163.03244750976563,286.09412019014246,"[M+45.97844]2 (M+2Na), [M+39.97043]2 (M+H+K)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,#33 499.8953@8.0295 MS1+,1,+,8.02945,1223553.450405606,1.0209689729172382E8,499.8953159877232,1496.6633053031994,"[M+3.02183]3 (M+3H), [M+2.01455]2 (M+2H)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,#34 206.0827@8.0295 MS1+,1,+,8.02945,1.953974714185365E8,1.0209689729172382E8,206.08271520278032,164.04658526835664,"[M+42.03382] (M+ACN+H), [2M+28.02312]2 (2M+3H2O+2H)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,#35 159.0653@7.4672 MS1+,1,+,7.4671666666666665,8.365307793226402E8,7.444480977290858E7,159.06526722627527,278.1579539234595,"[M+39.97043]2 (M+H+K), [M+1.00728]! (M+H)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,#36 303.0386@7.4672 MS1+,1,+,7.4671666666666665,8.717832331609575E7,7.444480977290858E7,303.03855357450595,302.0312164415785,"[M+1.00728]! (M+H), [M+33.03349] (M+CH3OH+H)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,#37 304.0419@7.4672 MS1+,1,+,7.4671666666666665,1.0430953609705277E7,7.444480977290858E7,304.04185216567095,303.0345401648667,"[M+33.03349] (M+CH3OH+H), [M+1.00728]! (M+H)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,#38 349.6550@7.4672 MS1+,1,+,7.4671666666666665,5387990.25387858,7.444480977290858E7,349.6549853156595,675.3127444601907,"[M+39.97043]2 (M+H+K), [M+23.99649]2 (M+H+Na)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,#39 660.3563@7.4672 MS1+,1,+,7.4671666666666665,4712280.56770088,7.444480977290858E7,660.3562783633961,659.3506690407726,"[M+1.00728]! (M+H), [M+44.97116] (M+2Na-H)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,#40 319.0109@7.4672 MS1+,1,+,7.4671666666666665,7814700.571133567,7.444480977290858E7,319.0109127269072,318.0037393430307,"[M+1.00728]! (M+H), [M+33.03349] (M+CH3OH+H)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
